"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","2013-01-04","2289.510","2296.113","2256.560","2276.992","0.346600"
"000001","2013-01-07","2271.663","2293.317","2266.862","2285.364","0.367700"
"000001","2013-01-08","2284.654","2289.139","2262.979","2276.070","-0.406700"
"000001","2013-01-09","2271.299","2283.896","2259.051","2275.340","-0.032100"
"000001","2013-01-10","2274.377","2295.484","2268.648","2283.658","0.365600"
"000001","2013-01-11","2285.185","2290.205","2234.947","2242.997","-1.780500"
"000001","2013-01-14","2236.288","2317.617","2235.107","2311.740","3.064800"
"000001","2013-01-15","2312.468","2332.783","2309.323","2325.682","0.603100"
"000001","2013-01-16","2322.158","2326.764","2279.507","2309.499","-0.695800"
"000001","2013-01-17","2305.140","2305.602","2275.877","2284.909","-1.064700"
"000001","2013-01-18","2295.809","2324.509","2285.972","2317.070","1.407500"
"000001","2013-01-21","2321.490","2329.581","2305.099","2328.221","0.481300"
"000001","2013-01-22","2326.490","2335.806","2301.301","2315.139","-0.561900"
"000001","2013-01-23","2308.521","2325.118","2296.491","2320.911","0.249300"
"000001","2013-01-24","2320.258","2362.943","2287.296","2302.598","-0.789000"
"000001","2013-01-25","2300.001","2308.380","2288.262","2291.304","-0.490500"
"000001","2013-01-28","2295.352","2346.921","2295.352","2346.505","2.409200"
"000001","2013-01-29","2347.215","2363.797","2337.353","2358.977","0.531500"
"000001","2013-01-30","2360.748","2383.763","2347.890","2382.475","0.996100"
"000001","2013-01-31","2383.426","2391.821","2371.226","2385.422","0.123700"
"000001","2013-02-01","2377.414","2421.154","2369.570","2419.020","1.408500"
"000001","2013-02-04","2425.921","2440.376","2417.585","2428.154","0.377600"
"000001","2013-02-05","2411.001","2437.415","2403.302","2433.130","0.204900"
"000001","2013-02-06","2432.677","2441.726","2427.699","2434.477","0.055400"
"000001","2013-02-07","2430.688","2433.893","2394.218","2418.530","-0.655000"
"000001","2013-02-08","2416.619","2443.032","2414.398","2432.402","0.573600"
