"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","1997-01-02","914.060","920.190","909.460","919.430","0.262800"
"000001","1997-01-03","921.100","922.390","896.990","899.610","-2.155700"
"000001","1997-01-06","890.980","892.020","875.890","876.490","-2.570000"
"000001","1997-01-07","872.800","903.000","871.780","898.170","2.473500"
"000001","1997-01-08","899.830","902.530","887.230","896.410","-0.196000"
"000001","1997-01-09","897.990","914.330","897.940","906.970","1.178000"
"000001","1997-01-10","908.560","918.510","906.550","918.400","1.260200"
"000001","1997-01-13","923.540","931.440","922.740","929.520","1.210800"
"000001","1997-01-14","929.550","929.590","903.620","907.850","-2.331300"
"000001","1997-01-15","905.470","919.420","905.060","916.720","0.977000"
"000001","1997-01-16","917.480","922.100","908.260","915.010","-0.186500"
"000001","1997-01-17","916.100","921.140","912.660","919.850","0.529000"
"000001","1997-01-20","922.470","933.360","922.060","933.280","1.460000"
"000001","1997-01-21","937.040","939.020","926.090","929.110","-0.446800"
"000001","1997-01-22","929.360","942.720","929.010","942.440","1.434700"
"000001","1997-01-23","945.590","947.540","940.500","945.800","0.356500"
"000001","1997-01-24","945.530","954.300","934.640","953.920","0.858500"
"000001","1997-01-27","957.250","959.870","952.400","959.060","0.538800"
"000001","1997-01-28","957.880","957.880","947.910","956.310","-0.286700"
"000001","1997-01-29","955.960","964.020","955.100","962.100","0.605500"
"000001","1997-01-30","960.490","962.970","955.470","960.170","-0.200600"
"000001","1997-01-31","960.260","967.900","960.080","964.740","0.476000"
"000001","1997-02-17","969.530","985.210","959.750","982.400","1.830500"
"000001","1997-02-18","980.480","999.220","893.750","894.850","-8.911800"
"000001","1997-02-19","911.580","962.690","911.580","962.690","7.581200"
"000001","1997-02-20","870.180","971.510","870.180","965.080","0.248300"
"000001","1997-02-21","967.680","1017.320","967.490","1017.130","5.393300"
"000001","1997-02-24","1028.350","1032.700","1004.620","1009.560","-0.744300"
"000001","1997-02-25","1009.050","1028.330","1009.030","1017.960","0.832000"
"000001","1997-02-26","1019.860","1031.510","1015.390","1031.510","1.331100"
"000001","1997-02-27","1035.320","1038.480","1020.340","1025.300","-0.602000"
"000001","1997-02-28","1023.370","1040.330","1010.270","1040.270","1.460100"
"000001","1997-03-03","1044.610","1063.050","1043.930","1063.050","2.189800"
"000001","1997-03-04","1063.290","1070.220","1048.440","1068.160","0.480700"
"000001","1997-03-05","1067.580","1072.460","1051.520","1052.150","-1.498800"
"000001","1997-03-06","1045.890","1079.130","1044.230","1079.130","2.564300"
"000001","1997-03-07","1083.010","1086.640","1070.860","1077.720","-0.130700"
"000001","1997-03-10","1085.910","1100.510","1085.890","1099.680","2.037600"
"000001","1997-03-11","1103.430","1109.950","1092.720","1109.730","0.913900"
"000001","1997-03-12","1112.710","1126.420","1109.470","1126.160","1.480500"
"000001","1997-03-13","1128.710","1131.730","1108.890","1117.280","-0.788500"
"000001","1997-03-14","1114.740","1125.820","1092.700","1125.800","0.762600"
"000001","1997-03-17","1138.280","1159.540","1138.280","1158.480","2.902800"
"000001","1997-03-18","1164.960","1177.020","1148.070","1162.630","0.358200"
"000001","1997-03-19","1167.040","1170.400","1156.190","1161.270","-0.117000"
"000001","1997-03-20","1162.260","1168.490","1119.670","1120.720","-3.491900"
"000001","1997-03-21","1116.720","1167.210","1116.590","1167.170","4.144700"
"000001","1997-03-24","1186.950","1196.640","1181.330","1191.730","2.104200"
"000001","1997-03-25","1198.160","1201.620","1180.880","1197.840","0.512700"
"000001","1997-03-26","1204.210","1215.470","1201.170","1215.310","1.458500"
"000001","1997-03-27","1220.550","1228.240","1202.770","1214.260","-0.086400"
"000001","1997-03-28","1213.810","1219.040","1199.530","1202.670","-0.954500"
"000001","1997-03-31","1210.020","1234.960","1210.000","1234.620","2.656600"
"000001","1997-04-01","1243.870","1246.310","1234.250","1241.030","0.519200"
"000001","1997-04-02","1246.410","1249.570","1232.310","1233.850","-0.578600"
"000001","1997-04-03","1233.820","1246.180","1222.560","1246.030","0.987200"
"000001","1997-04-04","1258.070","1269.730","1251.600","1260.960","1.198200"
"000001","1997-04-07","1259.590","1276.570","1252.750","1276.410","1.225300"
"000001","1997-04-08","1277.060","1278.300","1246.720","1247.260","-2.283700"
"000001","1997-04-09","1251.570","1286.910","1251.560","1286.850","3.174200"
"000001","1997-04-10","1293.260","1299.740","1279.490","1281.890","-0.385400"
