"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","1990-12-19","96.050","99.980","95.790","99.980",""
"000001","1990-12-20","104.300","104.390","99.980","104.390","4.410900"
"000001","1990-12-21","109.070","109.130","103.730","109.130","4.540700"
"000001","1990-12-24","113.570","114.550","109.130","114.550","4.966600"
"000001","1990-12-25","120.090","120.250","114.550","120.250","4.976000"
"000001","1990-12-26","125.270","125.270","120.250","125.270","4.174600"
"000001","1990-12-27","125.270","125.280","125.270","125.280","0.008000"
"000001","1990-12-28","126.390","126.450","125.280","126.450","0.933900"
"000001","1990-12-31","126.560","127.610","126.480","127.610","0.917400"
"000001","1991-01-02","127.610","128.840","127.610","128.840","0.963900"
"000001","1991-01-03","128.840","130.140","128.840","130.140","1.009000"
"000001","1991-01-04","131.270","131.440","130.140","131.440","0.998900"
"000001","1991-01-07","131.990","132.060","131.450","132.060","0.471700"
"000001","1991-01-08","132.620","132.680","132.060","132.680","0.469500"
"000001","1991-01-09","133.300","133.340","132.680","133.340","0.497400"
"000001","1991-01-10","133.930","133.970","133.340","133.970","0.472500"
"000001","1991-01-11","134.610","134.610","134.510","134.600","0.470300"
"000001","1991-01-14","134.110","135.190","134.110","134.670","0.052000"
"000001","1991-01-15","134.210","134.740","134.190","134.740","0.052000"
"000001","1991-01-16","134.190","134.740","134.140","134.240","-0.371100"
"000001","1991-01-17","133.670","134.250","133.650","134.250","0.007400"
"000001","1991-01-18","133.700","134.250","133.670","134.240","-0.007400"
"000001","1991-01-21","133.700","134.240","133.660","134.240","0.000000"
"000001","1991-01-22","133.720","134.240","133.660","133.720","-0.387400"
"000001","1991-01-23","133.170","133.720","133.140","133.170","-0.411300"
"000001","1991-01-24","132.610","133.170","132.570","132.610","-0.420500"
"000001","1991-01-25","132.050","132.070","132.030","132.050","-0.422300"
"000001","1991-01-28","131.460","131.550","131.460","131.460","-0.446800"
"000001","1991-01-29","130.950","130.970","130.950","130.950","-0.388000"
"000001","1991-01-30","130.440","130.950","130.410","130.440","-0.389500"
"000001","1991-01-31","129.930","130.460","129.930","129.970","-0.360300"
"000001","1991-02-01","129.500","129.970","129.450","129.510","-0.353900"
"000001","1991-02-04","129.050","129.580","129.050","129.050","-0.355200"
"000001","1991-02-05","128.560","128.580","128.530","128.580","-0.364200"
"000001","1991-02-06","129.130","129.150","128.060","129.140","0.435500"
"000001","1991-02-07","129.740","129.790","129.140","129.790","0.503300"
"000001","1991-02-08","130.360","130.390","129.790","130.380","0.454600"
"000001","1991-02-11","130.920","130.970","130.390","130.970","0.452500"
"000001","1991-02-12","131.540","131.560","130.970","131.350","0.290100"
"000001","1991-02-13","131.930","131.930","131.350","131.920","0.434000"
"000001","1991-02-14","132.530","132.530","132.300","132.530","0.462400"
"000001","1991-02-19","133.120","133.140","133.080","133.130","0.452700"
"000001","1991-02-20","133.630","133.670","133.130","133.670","0.405600"
"000001","1991-02-21","134.240","134.280","133.670","134.280","0.456300"
"000001","1991-02-22","134.850","134.870","134.280","134.870","0.439400"
"000001","1991-02-25","134.370","134.870","134.330","134.400","-0.348500"
"000001","1991-02-26","133.900","134.440","133.900","133.930","-0.349700"
"000001","1991-02-27","133.440","133.980","133.440","133.470","-0.343500"
"000001","1991-02-28","132.990","133.520","132.980","133.010","-0.344600"
"000001","1991-03-01","132.530","132.530","132.470","132.530","-0.360900"
"000001","1991-03-04","132.090","132.090","131.980","131.990","-0.407500"
"000001","1991-03-05","131.420","131.990","131.410","131.460","-0.401500"
"000001","1991-03-06","130.890","130.950","130.890","130.940","-0.395600"
"000001","1991-03-07","130.410","130.940","130.410","130.410","-0.404800"
"000001","1991-03-08","129.840","130.410","129.840","129.890","-0.398700"
"000001","1991-03-11","129.300","129.890","129.300","129.310","-0.446500"
"000001","1991-03-12","128.730","129.310","128.730","128.770","-0.417600"
"000001","1991-03-13","126.130","128.770","126.130","126.150","-2.034600"
"000001","1991-03-14","125.610","126.150","125.610","125.630","-0.412200"
"000001","1991-03-15","125.080","125.620","125.080","125.170","-0.366200"
"000001","1991-03-18","124.700","125.170","124.690","124.710","-0.367500"
"000001","1991-03-19","124.230","124.710","124.220","124.220","-0.392900"
"000001","1991-03-20","123.660","124.210","123.630","123.660","-0.450800"
"000001","1991-03-21","123.140","123.660","123.120","123.120","-0.436700"
"000001","1991-03-22","122.620","123.120","122.620","122.620","-0.406100"
"000001","1991-03-25","122.120","122.620","122.100","122.120","-0.407800"
"000001","1991-03-26","121.620","122.140","121.620","121.620","-0.409400"
"000001","1991-03-27","121.120","121.640","121.120","121.120","-0.411100"
"000001","1991-03-28","120.650","121.150","120.610","120.610","-0.421100"
"000001","1991-03-29","120.160","120.610","120.110","120.190","-0.348200"
"000001","1991-04-01","120.690","120.730","119.680","120.730","0.449300"
"000001","1991-04-02","121.210","121.290","120.730","121.210","0.397600"
"000001","1991-04-03","121.710","121.710","121.210","121.710","0.412500"
"000001","1991-04-04","122.200","122.200","121.240","121.720","0.008200"
"000001","1991-04-05","121.070","121.730","121.030","121.540","-0.147900"
"000001","1991-04-08","121.110","121.110","121.050","121.090","-0.370200"
"000001","1991-04-09","120.600","121.100","120.600","120.620","-0.388100"
"000001","1991-04-10","120.150","120.620","120.090","120.160","-0.381400"
"000001","1991-04-11","119.640","120.160","119.620","119.640","-0.432800"
"000001","1991-04-12","119.200","119.650","119.150","119.210","-0.359400"
"000001","1991-04-15","118.730","119.220","118.720","118.770","-0.369100"
"000001","1991-04-16","118.360","118.770","118.340","118.340","-0.362000"
"000001","1991-04-17","117.920","118.340","117.890","117.900","-0.371800"
"000001","1991-04-18","117.450","117.930","117.450","117.450","-0.381700"
"000001","1991-04-19","117.080","117.500","117.050","117.080","-0.315000"
"000001","1991-04-22","116.630","117.080","116.580","116.630","-0.384400"
"000001","1991-04-23","116.210","116.630","116.150","116.190","-0.377300"
"000001","1991-04-24","115.700","116.190","115.700","115.790","-0.344300"
"000001","1991-04-25","115.380","115.790","115.330","115.360","-0.371400"
"000001","1991-04-26","116.310","116.310","114.520","115.560","0.173400"
"000001","1991-04-29","114.860","116.290","114.750","114.750","-0.700900"
"000001","1991-04-30","113.890","114.870","113.890","113.940","-0.705900"
"000001","1991-05-02","113.040","113.200","113.030","113.160","-0.684600"
"000001","1991-05-03","112.460","113.170","112.300","112.410","-0.662800"
"000001","1991-05-06","111.650","112.410","111.570","111.610","-0.711700"
"000001","1991-05-07","110.800","110.900","110.800","110.820","-0.707800"
"000001","1991-05-08","110.160","110.820","110.000","110.030","-0.712900"
"000001","1991-05-09","109.360","110.120","109.290","109.290","-0.672500"
