"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","1993-01-04","784.130","816.640","777.160","814.040","4.311900"
"000001","1993-01-05","813.340","859.190","817.210","858.720","5.488700"
"000001","1993-01-06","881.000","883.420","843.160","847.440","-1.313600"
"000001","1993-01-07","855.800","868.970","849.530","868.970","2.540600"
"000001","1993-01-08","882.570","893.860","878.330","889.470","2.359100"
"000001","1993-01-11","913.440","977.420","901.470","977.420","9.887900"
"000001","1993-01-12","1001.930","1028.430","982.150","987.260","1.006700"
"000001","1993-01-13","996.410","1024.050","973.300","1024.050","3.726500"
"000001","1993-01-14","1053.910","1088.600","1036.030","1086.430","6.091500"
"000001","1993-01-15","1083.600","1099.830","1054.460","1063.760","-2.086700"
"000001","1993-01-18","1067.980","1078.030","1052.800","1055.320","-0.793400"
"000001","1993-01-19","1053.520","1064.080","991.830","991.830","-6.016200"
"000001","1993-01-20","990.090","1050.110","984.740","1043.310","5.190400"
"000001","1993-01-21","1051.600","1077.820","1046.180","1074.260","2.966500"
"000001","1993-01-22","1074.360","1109.590","1073.640","1100.310","2.424900"
"000001","1993-01-27","1126.370","1162.440","1113.570","1162.440","5.646600"
"000001","1993-01-28","1182.390","1186.210","1146.900","1150.370","-1.038300"
"000001","1993-01-29","1156.840","1198.480","1140.240","1198.480","4.182100"
"000001","1993-02-01","1242.350","1278.500","1222.180","1278.500","6.676800"
"000001","1993-02-02","1292.400","1325.240","1291.990","1310.580","2.509200"
"000001","1993-02-03","1321.630","1326.190","1265.700","1300.560","-0.764500"
"000001","1993-02-04","1323.130","1371.580","1297.460","1371.580","5.460700"
"000001","1993-02-05","1371.340","1404.640","1325.850","1332.960","-2.815700"
"000001","1993-02-08","1339.590","1393.340","1334.190","1393.170","4.517000"
"000001","1993-02-09","1427.330","1483.520","1426.480","1474.920","5.867900"
"000001","1993-02-10","1500.520","1528.510","1448.070","1454.460","-1.387200"
"000001","1993-02-11","1495.920","1497.010","1364.670","1397.380","-3.924500"
"000001","1993-02-12","1378.200","1458.760","1352.270","1458.760","4.392500"
"000001","1993-02-15","1544.100","1536.820","1499.100","1536.820","5.351100"
"000001","1993-02-16","1555.150","1558.950","1504.360","1513.480","-1.518700"
"000001","1993-02-17","1515.250","1533.580","1502.880","1504.000","-0.626400"
"000001","1993-02-18","1503.720","1538.610","1497.790","1508.220","0.280600"
"000001","1993-02-19","1471.560","1514.460","1441.070","1499.740","-0.562300"
"000001","1993-02-22","1487.840","1527.130","1453.310","1456.290","-2.897200"
"000001","1993-02-23","1420.630","1466.070","1346.150","1367.360","-6.106600"
"000001","1993-02-24","1310.040","1346.480","1196.470","1264.960","-7.488900"
"000001","1993-02-25","1271.200","1421.350","1261.760","1410.360","11.494400"
"000001","1993-02-26","1436.990","1444.050","1320.890","1339.880","-4.997300"
"000001","1993-03-01","1328.220","1339.100","1199.730","1199.730","-10.459900"
"000001","1993-03-02","1207.570","1285.170","1186.340","1245.110","3.782500"
"000001","1993-03-03","1263.740","1267.540","1220.030","1231.770","-1.071400"
"000001","1993-03-04","1231.920","1244.650","1131.290","1159.130","-5.897200"
"000001","1993-03-05","1116.410","1180.580","1026.180","1109.540","-4.278200"
"000001","1993-03-08","1133.520","1325.490","1133.460","1209.650","9.022700"
"000001","1993-03-09","1160.130","1209.660","1129.810","1137.790","-5.940600"
"000001","1993-03-10","1099.520","1190.330","1089.360","1188.970","4.498200"
"000001","1993-03-11","1219.470","1261.800","1196.250","1261.800","6.125500"
"000001","1993-03-12","1280.370","1286.070","1231.390","1236.370","-2.015400"
"000001","1993-03-15","1226.660","1241.040","1171.730","1171.730","-5.228200"
"000001","1993-03-16","1167.910","1222.550","1155.100","1222.550","4.337200"
"000001","1993-03-17","1238.800","1239.330","1193.590","1202.850","-1.611400"
"000001","1993-03-18","1203.200","1206.590","1171.430","1184.480","-1.527200"
"000001","1993-03-19","1188.370","1207.560","1171.730","1174.990","-0.801200"
"000001","1993-03-22","1148.290","1179.050","1036.920","1036.920","-11.750700"
"000001","1993-03-23","1035.600","1035.630","958.420","971.250","-6.333200"
