"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","2009-01-05","1849.020","1880.720","1844.090","1880.720","3.290300"
"000001","2009-01-06","1878.830","1938.690","1871.970","1937.150","3.000400"
"000001","2009-01-07","1938.970","1948.230","1920.520","1924.010","-0.678300"
"000001","2009-01-08","1890.240","1894.170","1862.260","1878.180","-2.382000"
"000001","2009-01-09","1875.160","1909.350","1875.160","1904.860","1.420500"
"000001","2009-01-12","1897.700","1924.440","1886.830","1900.350","-0.236800"
"000001","2009-01-13","1880.870","1888.310","1861.810","1863.370","-1.946000"
"000001","2009-01-14","1862.310","1929.280","1862.310","1928.870","3.515100"
"000001","2009-01-15","1912.770","1937.730","1902.540","1920.210","-0.449000"
"000001","2009-01-16","1928.920","1984.730","1928.920","1954.440","1.782600"
"000001","2009-01-19","1971.000","2018.510","1966.190","1986.670","1.649100"
"000001","2009-01-20","1981.150","1994.810","1956.100","1994.110","0.374500"
"000001","2009-01-21","1965.940","2007.910","1960.530","1985.020","-0.455800"
"000001","2009-01-22","1996.090","2009.850","1980.440","2004.950","1.004000"
"000001","2009-01-23","2001.170","2008.790","1986.350","1990.660","-0.712700"
"000001","2009-02-02","2008.130","2012.740","1987.130","2011.680","1.055900"
"000001","2009-02-03","2011.770","2060.930","2005.020","2060.810","2.442200"
"000001","2009-02-04","2068.090","2108.260","2067.790","2107.750","2.277700"
"000001","2009-02-05","2106.840","2149.480","2082.600","2098.020","-0.461600"
"000001","2009-02-06","2102.080","2185.090","2102.080","2181.240","3.966600"
"000001","2009-02-09","2211.320","2238.890","2196.710","2224.710","1.992900"
"000001","2009-02-10","2218.490","2266.400","2197.010","2265.160","1.818200"
"000001","2009-02-11","2230.490","2305.710","2218.300","2260.820","-0.191600"
"000001","2009-02-12","2265.790","2274.200","2191.890","2248.090","-0.563100"
"000001","2009-02-13","2249.190","2323.120","2236.180","2320.790","3.233900"
"000001","2009-02-16","2338.760","2389.880","2328.180","2389.390","2.955900"
"000001","2009-02-17","2387.350","2402.810","2316.930","2319.440","-2.927500"
"000001","2009-02-18","2271.260","2295.740","2206.060","2209.860","-4.724400"
"000001","2009-02-19","2224.490","2247.620","2190.470","2227.130","0.781500"
"000001","2009-02-20","2234.370","2262.330","2206.210","2261.480","1.542300"
"000001","2009-02-23","2249.290","2313.590","2219.710","2305.780","1.958900"
"000001","2009-02-24","2273.760","2295.590","2193.270","2200.650","-4.559400"
"000001","2009-02-25","2222.510","2234.020","2142.600","2206.570","0.269000"
"000001","2009-02-26","2201.670","2237.550","2102.350","2121.250","-3.866600"
"000001","2009-02-27","2100.060","2123.240","2064.920","2082.850","-1.810300"
"000001","2009-03-02","2066.230","2102.110","2052.990","2093.450","0.508900"
"000001","2009-03-03","2047.210","2088.630","2037.020","2071.430","-1.051900"
"000001","2009-03-04","2076.620","2201.730","2076.620","2198.110","6.115600"
"000001","2009-03-05","2220.150","2241.760","2173.490","2221.080","1.045000"
"000001","2009-03-06","2180.790","2221.040","2171.670","2193.010","-1.263800"
"000001","2009-03-09","2205.750","2232.670","2116.450","2118.750","-3.386200"
"000001","2009-03-10","2097.140","2159.270","2088.160","2158.570","1.879400"
"000001","2009-03-11","2199.980","2203.530","2133.140","2139.030","-0.905200"
"000001","2009-03-12","2127.730","2136.800","2086.020","2133.880","-0.240800"
"000001","2009-03-13","2148.420","2166.020","2124.980","2128.850","-0.235700"
"000001","2009-03-16","2122.410","2158.900","2108.610","2153.290","1.148000"
"000001","2009-03-17","2156.770","2225.190","2151.780","2218.330","3.020500"
"000001","2009-03-18","2227.980","2255.010","2221.590","2223.730","0.243400"
"000001","2009-03-19","2227.340","2268.140","2220.160","2265.760","1.890100"
"000001","2009-03-20","2272.440","2294.120","2250.410","2281.090","0.676600"
"000001","2009-03-23","2286.250","2329.180","2276.810","2325.480","1.946000"
"000001","2009-03-24","2359.680","2369.450","2327.430","2338.420","0.556400"
"000001","2009-03-25","2333.160","2355.690","2291.360","2291.560","-2.003900"
"000001","2009-03-26","2296.050","2362.050","2274.900","2361.700","3.060800"
"000001","2009-03-27","2380.630","2392.770","2361.090","2374.440","0.539400"
"000001","2009-03-30","2377.960","2380.190","2348.530","2358.040","-0.690700"
"000001","2009-03-31","2313.880","2375.710","2299.160","2373.210","0.643300"
"000001","2009-04-01","2380.980","2422.630","2380.980","2408.020","1.466800"
"000001","2009-04-02","2417.220","2450.000","2417.110","2425.290","0.717200"
"000001","2009-04-03","2446.120","2456.810","2406.500","2419.780","-0.227200"
"000001","2009-04-07","2422.100","2449.540","2407.510","2439.180","0.801700"
"000001","2009-04-08","2429.880","2435.390","2346.540","2347.390","-3.763100"
"000001","2009-04-09","2345.010","2380.940","2331.880","2379.880","1.384100"
"000001","2009-04-10","2400.010","2444.980","2392.800","2444.230","2.703900"
"000001","2009-04-13","2468.080","2522.450","2464.060","2513.700","2.842200"
"000001","2009-04-14","2512.010","2532.090","2495.340","2527.180","0.536300"
"000001","2009-04-15","2514.590","2542.540","2485.930","2536.060","0.351400"
"000001","2009-04-16","2542.340","2549.310","2497.120","2534.130","-0.076100"
"000001","2009-04-17","2524.630","2539.350","2481.900","2503.940","-1.191300"
"000001","2009-04-20","2500.170","2559.040","2497.320","2557.460","2.137400"
"000001","2009-04-21","2523.260","2552.600","2499.600","2535.830","-0.845800"
"000001","2009-04-22","2548.110","2579.220","2449.900","2461.350","-2.937100"
"000001","2009-04-23","2440.680","2474.150","2422.790","2463.950","0.105600"
"000001","2009-04-24","2477.160","2481.530","2445.660","2448.600","-0.623000"
"000001","2009-04-27","2443.440","2452.930","2393.160","2405.350","-1.766300"
"000001","2009-04-28","2382.880","2411.440","2372.340","2401.440","-0.162600"
"000001","2009-04-29","2401.660","2477.730","2395.480","2468.190","2.779600"
"000001","2009-04-30","2477.930","2491.070","2461.370","2477.570","0.380000"
"000001","2009-05-04","2486.690","2560.540","2486.230","2559.910","3.323400"
"000001","2009-05-05","2577.430","2590.780","2552.390","2567.340","0.290200"
"000001","2009-05-06","2563.560","2596.930","2552.630","2592.520","0.980800"
"000001","2009-05-07","2612.120","2622.110","2566.120","2597.450","0.190200"
"000001","2009-05-08","2586.760","2634.060","2574.570","2625.650","1.085700"
"000001","2009-05-11","2646.290","2663.950","2579.750","2579.750","-1.748100"
"000001","2009-05-12","2562.360","2619.690","2558.960","2618.170","1.489300"
"000001","2009-05-13","2629.030","2670.210","2608.320","2663.770","1.741700"
"000001","2009-05-14","2631.450","2651.490","2610.220","2639.890","-0.896500"
