"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","2005-01-04","1260.780","1260.780","1238.180","1242.770","-1.873700"
"000001","2005-01-05","1241.680","1258.580","1235.750","1251.940","0.737900"
"000001","2005-01-06","1252.490","1252.740","1234.240","1239.430","-0.999200"
"000001","2005-01-07","1239.320","1256.310","1235.510","1244.750","0.429200"
"000001","2005-01-10","1243.580","1252.720","1236.090","1252.400","0.614600"
"000001","2005-01-11","1252.710","1260.870","1247.840","1257.460","0.404000"
"000001","2005-01-12","1257.170","1257.190","1246.420","1256.920","-0.042900"
"000001","2005-01-13","1255.720","1259.500","1251.020","1256.310","-0.048500"
"000001","2005-01-14","1255.870","1268.860","1243.870","1245.620","-0.850900"
"000001","2005-01-17","1235.570","1236.400","1214.070","1216.650","-2.325700"
"000001","2005-01-18","1215.780","1226.040","1207.050","1225.450","0.723300"
"000001","2005-01-19","1225.080","1225.080","1214.640","1218.110","-0.599000"
"000001","2005-01-20","1213.370","1213.960","1199.170","1204.390","-1.126300"
"000001","2005-01-21","1201.930","1237.910","1189.210","1234.480","2.498400"
"000001","2005-01-24","1258.020","1265.950","1239.800","1255.780","1.725400"
"000001","2005-01-25","1252.350","1254.870","1239.160","1254.230","-0.123400"
"000001","2005-01-26","1252.370","1254.230","1240.130","1241.960","-0.978300"
"000001","2005-01-27","1239.580","1241.140","1223.880","1225.890","-1.293900"
"000001","2005-01-28","1223.730","1226.300","1208.860","1213.670","-0.996800"
"000001","2005-01-31","1210.760","1210.760","1190.170","1191.820","-1.800300"
"000001","2005-02-01","1189.500","1203.070","1188.390","1201.680","0.827300"
"000001","2005-02-02","1189.500","1253.160","1189.500","1252.500","4.229100"
"000001","2005-02-03","1253.810","1269.160","1236.180","1242.310","-0.813600"
"000001","2005-02-04","1238.610","1274.120","1235.640","1269.000","2.148400"
"000001","2005-02-16","1276.020","1291.470","1270.320","1278.880","0.778600"
"000001","2005-02-17","1280.030","1280.030","1263.710","1276.130","-0.215000"
"000001","2005-02-18","1275.660","1278.620","1258.560","1258.970","-1.344700"
"000001","2005-02-21","1259.530","1284.940","1259.510","1284.480","2.026300"
"000001","2005-02-22","1285.630","1312.530","1282.780","1309.280","1.930700"
"000001","2005-02-23","1309.620","1316.590","1299.150","1309.480","0.015300"
"000001","2005-02-24","1307.040","1310.970","1296.980","1309.950","0.035900"
"000001","2005-02-25","1311.370","1328.530","1311.210","1312.450","0.190800"
"000001","2005-02-28","1311.440","1315.140","1298.930","1306.000","-0.491400"
"000001","2005-03-01","1305.250","1308.760","1295.640","1303.410","-0.198300"
"000001","2005-03-02","1303.310","1316.720","1285.920","1287.450","-1.224500"
"000001","2005-03-03","1285.200","1295.250","1276.880","1294.340","0.535200"
"000001","2005-03-04","1294.160","1299.600","1286.480","1287.710","-0.512200"
"000001","2005-03-07","1288.410","1296.880","1287.740","1293.740","0.468300"
"000001","2005-03-08","1298.250","1318.900","1296.910","1318.270","1.896100"
"000001","2005-03-09","1321.210","1326.080","1310.240","1316.790","-0.112300"
"000001","2005-03-10","1316.900","1316.900","1282.530","1286.230","-2.320800"
"000001","2005-03-11","1284.510","1292.530","1278.150","1289.940","0.288400"
"000001","2005-03-14","1288.990","1304.110","1271.510","1293.500","0.276000"
"000001","2005-03-15","1293.130","1293.260","1266.640","1269.140","-1.883300"
"000001","2005-03-16","1267.050","1268.190","1247.890","1255.590","-1.067700"
"000001","2005-03-17","1255.990","1257.790","1242.510","1243.480","-0.964500"
"000001","2005-03-18","1242.450","1248.030","1223.620","1227.400","-1.293100"
"000001","2005-03-21","1226.140","1232.820","1220.820","1231.050","0.297400"
"000001","2005-03-22","1230.680","1231.680","1202.430","1206.920","-1.960100"
"000001","2005-03-23","1205.760","1218.010","1194.320","1201.650","-0.436600"
"000001","2005-03-24","1200.260","1208.610","1187.580","1208.190","0.544300"
"000001","2005-03-25","1207.200","1211.160","1199.870","1205.630","-0.211900"
"000001","2005-03-28","1204.850","1204.850","1185.460","1200.110","-0.457900"
"000001","2005-03-29","1199.690","1209.230","1194.590","1195.020","-0.424100"
"000001","2005-03-30","1192.450","1192.450","1171.810","1172.570","-1.878600"
"000001","2005-03-31","1168.830","1181.530","1162.030","1181.240","0.739400"
"000001","2005-04-01","1180.370","1237.800","1173.540","1223.570","3.583500"
"000001","2005-04-04","1212.120","1218.280","1196.950","1202.970","-1.683600"
"000001","2005-04-05","1200.690","1209.340","1189.260","1191.750","-0.932700"
"000001","2005-04-06","1191.200","1220.420","1183.910","1214.870","1.940000"
"000001","2005-04-07","1216.730","1248.060","1213.650","1225.490","0.874200"
"000001","2005-04-08","1225.050","1249.200","1218.760","1248.520","1.879200"
"000001","2005-04-11","1248.150","1252.810","1235.360","1240.970","-0.604700"
"000001","2005-04-12","1239.130","1239.130","1218.510","1219.510","-1.729300"
"000001","2005-04-13","1228.970","1254.320","1228.970","1248.200","2.352600"
